obs_date,a,b,inflation
2013-01-01,0.08,0.14,2.07,in %
2013-02-01,0.17,0.15,2.14,in %
2013-03-01,0.05,0.14,2.10,in %
2013-04-01,-0.02,0.15,1.93,in %
2013-05-01,-0.02,0.11,1.91,in %
2013-06-01,0.23,0.09,1.87,in %
2013-07-01,0.55,0.09,1.87,in %
2013-08-01,0.48,0.08,1.91,in %
2013-09-01,0.54,0.08,1.89,in %
2013-10-01,0.49,0.09,1.87,in %
2013-11-01,0.49,0.08,1.89,in %
2013-12-01,0.42,0.09,1.87,in %
2014-01-01,0.68,0.07,1.82,in %
2014-02-01,0.51,0.07,1.79,in %
2014-03-01,0.58,0.08,1.82,in %
2014-04-01,0.70,0.09,2.03,in %
2014-05-01,0.63,0.09,2.13,in %
2014-06-01,0.62,0.10,2.14,in %
2014-07-01,0.59,0.09,2.10,in %
2014-08-01,0.65,0.09,1.96,in %
2014-09-01,0.58,0.09,1.95,in %
2014-10-01,0.70,0.09,2.00,in %
2014-11-01,0.71,0.09,2.00,in %
2014-12-01,0.38,0.12,1.96,in %
2015-01-01,0.71,0.11,1.98,in %
2015-02-01,0.54,0.11,1.97,in %
2015-03-01,0.75,0.11,1.99,in %
2015-04-01,0.41,0.12,2.05,in %
2015-05-01,0.53,0.12,2.06,in %
2015-06-01,0.55,0.13,2.10,in %
2015-07-01,0.67,0.13,2.13,in %
2015-08-01,0.55,0.14,2.17,in %
2015-09-01,0.51,0.14,2.27,in %
2015-10-01,0.53,0.12,2.34,in %
2015-11-01,0.67,0.12,2.39,in %
2015-12-01,0.65,0.24,2.44,in %
2016-01-01,0.73,0.34,2.46,in %
2016-02-01,0.54,0.38,2.54,in %
2016-03-01,0.55,0.36,2.53,in %
2016-04-01,0.35,0.37,2.53,in %
2016-05-01,0.41,0.37,2.57,in %
2016-06-01,0.52,0.38,2.56,in %
2016-07-01,0.17,0.39,2.57,in %
2016-08-01,0.23,0.40,2.72,in %
2016-09-01,0.22,0.40,2.62,in %
2016-10-01,0.29,0.40,2.50,in %
2016-11-01,0.35,0.41,2.52,in %
2016-12-01,0.70,0.54,2.59,in %
2017-01-01,0.73,0.65,2.65,in %
2017-02-01,0.77,0.66,2.66,in %
2017-03-01,0.92,0.79,2.44,in %
2017-04-01,0.77,0.90,2.24,in %
2017-05-01,0.78,0.91,2.14,in %
2017-06-01,0.74,1.04,2.12,in %
2017-07-01,0.73,1.15,2.13,in %
2017-08-01,0.67,1.16,2.08,in %
2017-09-01,0.57,1.15,2.09,in %
2017-10-01,0.73,1.15,2.18,in %
2017-11-01,0.75,1.16,2.10,in %
2017-12-01,0.57,1.30,2.12,in %
2018-01-01,0.87,1.41,2.16,in %
2018-02-01,1.09,1.42,2.12,in %
2018-03-01,1.03,1.51,2.37,in %
2018-04-01,1.01,1.69,2.49,in %
2018-05-01,1.22,1.70,2.54,in %
2018-06-01,1.25,1.82,2.55,in %
2018-07-01,1.16,1.91,2.52,in %
2018-08-01,1.26,1.91,2.43,in %
2018-09-01,1.13,1.95,2.46,in %
2018-10-01,1.30,2.19,2.42,in %
2018-11-01,1.31,2.20,2.48,in %
2018-12-01,1.25,2.27,2.46,in %
2019-01-01,1.04,2.40,2.38,in %
2019-02-01,1.07,2.40,2.38,in %
2019-03-01,0.52,2.41,2.36,in %
2019-04-01,0.42,2.42,2.39,in %
2019-05-01,0.54,2.39,2.36,in %
2019-06-01,0.42,2.38,2.39,in %
2019-07-01,0.44,2.40,2.48,in %
2019-08-01,0.42,2.13,2.63,in %
2019-09-01,0.24,2.04,2.62,in %
2019-10-01,0.37,1.83,2.75,in %
2019-11-01,0.43,1.55,2.77,in %
2019-12-01,0.51,1.55,2.75,in %
2020-01-01,0.51,1.55,2.79,in %
2020-02-01,0.32,1.58,2.80,in %
2020-03-01,-0.13,0.65,2.61,in %
2020-04-01,-0.11,0.05,2.18,in %
2020-05-01,-0.03,0.05,2.01,in %
2020-06-01,-0.15,0.08,1.99,in %
2020-07-01,-0.35,0.09,2.28,in %
2020-08-01,-0.41,0.10,2.21,in %
2020-09-01,-0.34,0.09,1.98,in %
2020-10-01,-0.29,0.09,1.75,in %
2020-11-01,-0.21,0.09,1.70,in %
2020-12-01,-0.23,0.09,1.60,in %
2021-01-01,-0.24,0.09,1.40,in %
2021-02-01,-0.23,0.08,1.41,in %
2021-03-01,0.01,0.07,1.59,in %
2021-04-01,0.12,0.07,2.21,in %
2021-05-01,0.04,0.06,2.56,in %
2021-06-01,-0.01,0.08,2.56,in %
2021-07-01,0.04,0.10,2.32,in %
2021-08-01,-0.26,0.09,2.33,in %
2021-09-01,-0.19,0.08,2.61,in %
2021-10-01,0.09,0.08,3.01,in %
2021-11-01,0.16,0.08,3.18,in %
2021-12-01,0.09,0.08,3.46,in %
2022-01-01,0.32,0.08,3.97,in %
2022-02-01,0.44,0.08,4.28,in %
2022-03-01,0.35,0.20,4.53,in %
2022-04-01,0.95,0.33,4.70,in %
2022-05-01,1.20,0.77,4.95,in %
2022-06-01,1.03,1.21,5.40,in %
2022-07-01,1.06,1.68,5.59,in %
2022-08-01,0.86,2.33,5.95,in %
2022-09-01,1.20,2.56,6.35,in %
2022-10-01,1.80,3.08,6.31,in %
2022-11-01,1.93,3.78,6.42,in %
2022-12-01,1.58,4.10,6.54,in %
